[Node 2] 2025/12/09 06:42:24.361997 Node 2: initializing at localhost:8002 with 9 peers
[Node 2] 2025/12/09 06:42:24.362410 [Database] opening BoltDB at data/node-2.db
[Node 2] 2025/12/09 06:42:24.394955 Node 2: BoltDB initialized at data/node-2.db
[Node 2] 2025/12/09 06:42:24.395195 Node 2: no shard overrides loaded (open config/overrides.json: no such file or directory)
[Node 2] 2025/12/09 06:42:24.395225 [Database] client 1 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.395251 Node 2: leader timeout monitor running
[Node 2] 2025/12/09 06:42:24.408894 [Database] client 2 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.424960 [Database] client 3 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.440830 [Database] client 4 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.456934 [Database] client 5 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.473003 [Database] client 6 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.488939 [Database] client 7 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.504956 [Database] client 8 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.521023 [Database] client 9 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.539005 [Database] client 10 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.548988 [Database] client 11 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.562975 [Database] client 12 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.578943 [Database] client 13 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.594966 [Database] client 14 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.610930 [Database] client 15 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.625953 [Database] client 16 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.641893 [Database] client 17 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.654955 [Database] client 18 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.671000 [Database] client 19 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.686938 [Database] client 20 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.702945 [Database] client 21 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.719001 [Database] client 22 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.733890 [Database] client 23 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.750038 [Database] client 24 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.765916 [Database] client 25 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.781053 [Database] client 26 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.796916 [Database] client 27 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.811963 [Database] client 28 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.826962 [Database] client 29 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.842969 [Database] client 30 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.857976 [Database] client 31 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.873149 [Database] client 32 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.888961 [Database] client 33 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.902041 [Database] client 34 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.916928 [Database] client 35 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.932974 [Database] client 36 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.948970 [Database] client 37 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.965011 [Database] client 38 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.981097 [Database] client 39 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:24.996997 [Database] client 40 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.011916 [Database] client 41 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.026986 [Database] client 42 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.041963 [Database] client 43 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.058031 [Database] client 44 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.073972 [Database] client 45 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.088971 [Database] client 46 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.104979 [Database] client 47 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.119930 [Database] client 48 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.135958 [Database] client 49 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.151948 [Database] client 50 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.173796 [Database] client 51 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.190078 [Database] client 52 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.205956 [Database] client 53 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.221017 [Database] client 54 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.236935 [Database] client 55 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.252894 [Database] client 56 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.268937 [Database] client 57 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.284881 [Database] client 58 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.299915 [Database] client 59 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.315908 [Database] client 60 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.331998 [Database] client 61 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.347967 [Database] client 62 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.363974 [Database] client 63 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.379988 [Database] client 64 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.397989 [Database] client 65 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.415844 [Database] client 66 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.435933 [Database] client 67 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.450100 [Database] client 68 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.466145 [Database] client 69 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.482062 [Database] client 70 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.499997 [Database] client 71 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.515876 [Database] client 72 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.531996 [Database] client 73 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.548020 [Database] client 74 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.563962 [Database] client 75 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.579987 [Database] client 76 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.595970 [Database] client 77 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.611916 [Database] client 78 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.628031 [Database] client 79 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.643918 [Database] client 80 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.659881 [Database] client 81 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.675904 [Database] client 82 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.691956 [Database] client 83 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.707044 [Database] client 84 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.722951 [Database] client 85 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.738999 [Database] client 86 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.754946 [Database] client 87 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.771096 [Database] client 88 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.787005 [Database] client 89 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.802884 [Database] client 90 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.818985 [Database] client 91 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.834903 [Database] client 92 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.850913 [Database] client 93 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.867108 [Database] client 94 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.882970 [Database] client 95 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.901015 [Database] client 96 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.920134 [Database] client 97 initialized with balance 10 (bolt)
[Node 2] 2025/12/09 06:42:25.938026 [Database] client 98 initialized with balance 10 (bolt)
