[Node 8] 2025/12/09 18:27:44.242817 Node 8: initializing at localhost:8008 with 9 peers
[Node 8] 2025/12/09 18:27:44.252937 [Database] opening BoltDB at data/node-8.db
[Node 8] 2025/12/09 18:27:44.339390 Node 8: BoltDB initialized at data/node-8.db
[Node 8] 2025/12/09 18:27:44.342855 Node 8: no shard overrides loaded (open config/overrides.json: no such file or directory)
[Node 8] 2025/12/09 18:27:44.346887 Node 8: leader timeout monitor running
[Node 8] 2025/12/09 18:27:44.346945 [Database] client 6001 initialized with balance 10 (bolt)
[Node 8] 2025/12/09 18:27:44.370512 [Database] client 6002 initialized with balance 10 (bolt)
[Node 8] 2025/12/09 18:27:44.395491 [Database] client 6003 initialized with balance 10 (bolt)
[Node 8] 2025/12/09 18:27:44.421396 [Database] client 6004 initialized with balance 10 (bolt)
[Node 8] 2025/12/09 18:27:44.447508 [Database] client 6005 initialized with balance 10 (bolt)
[Node 8] 2025/12/09 18:27:44.473546 [Database] client 6006 initialized with balance 10 (bolt)
[Node 8] 2025/12/09 18:27:44.493504 [Database] client 6007 initialized with balance 10 (bolt)
[Node 8] 2025/12/09 18:27:44.521434 [Database] client 6008 initialized with balance 10 (bolt)
[Node 8] 2025/12/09 18:27:44.543460 [Database] client 6009 initialized with balance 10 (bolt)
[Node 8] 2025/12/09 18:27:44.563521 [Database] client 6010 initialized with balance 10 (bolt)
[Node 8] 2025/12/09 18:27:44.599367 [Database] client 6011 initialized with balance 10 (bolt)
[Node 8] 2025/12/09 18:27:44.622437 [Database] client 6012 initialized with balance 10 (bolt)
[Node 8] 2025/12/09 18:27:44.657591 [Database] client 6013 initialized with balance 10 (bolt)
[Node 8] 2025/12/09 18:27:44.676518 [Database] client 6014 initialized with balance 10 (bolt)
[Node 8] 2025/12/09 18:27:44.698419 [Database] client 6015 initialized with balance 10 (bolt)
[Node 8] 2025/12/09 18:27:44.738403 [Database] client 6016 initialized with balance 10 (bolt)
